model_name|learning_rate|loss_function|test_size|depth|random_seed|accuracy|m_precision|m_recall|m_f1_score|w_precision|w_recall|w_f1_score|var_predictors|top_10_var_predictors|details|param
KNeighbors Classifier|na|na|0.2|na|42|0.5945287808921818|0.49961938289857305|0.4736385345211393|0.47980567097478216|0.5641564250174412|0.5945287808921818|0.573197255047895|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
KNeighbors Classifier|na|na|0.2|na|42|0.6093466659758562|0.514960092366191|0.47694268255910616|0.48588771342122267|0.5763362130497393|0.6093466659758562|0.5839685908819816|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}
KNeighbors Classifier|na|na|0.2|na|42|0.6218330656442671|0.5262353472304079|0.48990964525947495|0.4960764038441527|0.5851960643236089|0.6218330656442671|0.5930487985038425|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
Random Forest|na|na|0.2|na|42|0.6366509507279415|0.5465708805172511|0.5160258866858972|0.5199255449740401|0.6035919651529682|0.6366509507279415|0.6106104640662708|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'nome_classf_Outros', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_calcamento_domic_fam_Total']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6369618154499767|0.5462971966239577|0.515776020478287|0.5196202199611565|0.6038476655249038|0.6369618154499767|0.6108643027022154|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Outros', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_classf_Capital']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6369618154499767|0.5462971966239577|0.515776020478287|0.5196202199611565|0.6038476655249038|0.6369618154499767|0.6108643027022154|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Outros', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_classf_Capital']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Decision Tree|na|na|0.2|na|42|0.6378425988290762|0.5504826733801554|0.4855722082319589|0.46654322645701196|0.5920352644660671|0.6378425988290762|0.5759313333857263|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6', 'nome_local_domic_fam_Não se aplica']|Todas variaveis, inclusive UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Decision Tree|na|na|0.2|na|42|0.6378425988290762|0.5504826733801554|0.4855722082319589|0.46654322645701196|0.5920352644660671|0.6378425988290762|0.5759313333857263|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6', 'nome_local_domic_fam_Não se aplica']|Todas variaveis, inclusive UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Random Forest Classifier|na|na|0.2|na|42|0.6382052743381172|0.5477851776761877|0.5171625338412228|0.520450544527325|0.6047619927000383|0.6382052743381172|0.611514549728332|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'faixa_comodos_domic_fam', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6382052743381172|0.5477851776761877|0.5171625338412228|0.520450544527325|0.6047619927000383|0.6382052743381172|0.611514549728332|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'faixa_comodos_domic_fam', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Logistic Regression|na|na|0.2|na|42|0.640433138179369|0.5547421058892602|0.485357154245278|0.46338341004967676|0.5976155556628567|0.640433138179369|0.5767483144838635|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'multinomial', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}
Logistic Regression|na|na|0.2|na|42|0.6405885705403865|0.5546045245066843|0.48544468925928363|0.4634899186011306|0.5975810277005905|0.6405885705403865|0.5768881623076408|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'multinomial', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}
Logistic Regression|na|na|0.2|na|42|0.6405885705403865|0.5546045245066843|0.48544468925928363|0.4634899186011306|0.5975810277005905|0.6405885705403865|0.5768881623076408|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'multinomial', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}
Decision Tree|na|na|0.2|na|42|0.6410548676234392|0.5633617650210222|0.48532241080678595|0.4706895306235348|0.6000588045086092|0.6410548676234392|0.5797828742812621|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'qtd_comodos_domic_fam_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6', 'nome_regiao_ibge_Nordeste']|Todas variaveis, inclusive UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Decision Tree|na|na|0.2|na|42|0.6410548676234392|0.5633617650210222|0.48532241080678595|0.4706895306235348|0.6000588045086092|0.6410548676234392|0.5797828742812621|l_col_num_scaled, lista_nomes_encoded_2|['faixa_qtde_pessoas_1 pessoa', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'qtd_comodos_domic_fam_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge_Nordeste', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6']|Todas variaveis, exceto UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Decision Tree|na|na|0.2|na|42|0.6410548676234392|0.5633617650210222|0.48532241080678595|0.4706895306235348|0.6000588045086092|0.6410548676234392|0.5797828742812621|l_col_num_scaled, lista_nomes_tree|['qtde_pessoas_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'qtd_comodos_domic_fam_scaled', 'nome_regiao_ibge_Nordeste', 'dias_cadastramento_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'dias_atualizacao_scaled', 'nome_especie_domic_fam_Não se aplica', 'faixa_qtde_pessoas_2 pessoas', 'nome_banh_escoa_Com banheiro/ rede coletora']|Todas variaveis, exceto UF e grupos especificos|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Random Forest|na|na|0.2|na|42|0.6439562716957671|0.5725780776382993|0.47126295932853557|0.4504361636144188|0.6031635692313939|0.6439562716957671|0.5694829627918074|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'dias_cadastramento_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'dias_atualizacao_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'nome_material_piso_fam_Ceram_laj_pedra', 'qtd_comodos_domic_fam_scaled', 'nome_regiao_ibge_Nordeste', 'nome_material_piso_fam_Cimento']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
CatBoostClassifier|0.1|MultiClassOneVsAll|0.2|8|42|0.6636443707579918|0.5846123641264445|0.5332571700236737|0.5284310303839258|0.6294837737626202|0.6636443707579918|0.6234773053394429|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'dias_cadastramento_scaled', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf', 'faixa_comodos_domic_fam', 'nome_iluminacao_simpl']|Todas variaveis, exceto UF|na
XGBoost|na|na|0.2|na|42|0.6641624786280503|0.5845450606609649|0.5476628050908827|0.5500563000202413|0.6350208308554313|0.6641624786280503|0.6370899865540596|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_local_domic_fam_Nao se aplica', 'nome_regiao_ibge_Nordeste', 'nome_regiao_ibge_Sudeste', 'qtd_comodos_domic_fam_scaled', 'nome_local_domic_fam_Urbanas', 'nome_calcamento_domic_fam_Total', 'ind_parc_mds_fam_306', 'nome_iluminacao_domic_fam_Eletrica - med. proprio']|Todas variaveis, inclusive UF|{'objective': 'multi:softmax', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'mlogloss', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 256, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'num_class': 3, 'use_label_encoder': True}
XGBoost|na|na|0.2|na|42|0.6641624786280503|0.5845450606609649|0.5476628050908827|0.5500563000202413|0.6350208308554313|0.6641624786280503|0.6370899865540596|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_local_domic_fam_Nao se aplica', 'nome_regiao_ibge_Nordeste', 'nome_regiao_ibge_Sudeste', 'qtd_comodos_domic_fam_scaled', 'nome_local_domic_fam_Urbanas', 'nome_calcamento_domic_fam_Total', 'ind_parc_mds_fam_306', 'nome_iluminacao_domic_fam_Eletrica - med. proprio']|Todas variaveis, inclusive UF|{'objective': 'multi:softmax', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'merror', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 256, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'num_class': 3, 'use_label_encoder': True}
CatBoostClassifier|0.1|MultiClass|0.2|8|42|0.6648878296461324|0.5865136810291827|0.5362984010459083|0.5317095969808099|0.631479783796446|0.6648878296461324|0.6257639482919665|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf', 'faixa_comodos_domic_fam', 'nome_local_domic_fam']|Todas variaveis, exceto UF|na
CatBoostClassifier|0.1|MultiClassOneVsAll|0.2|6|42|0.6653023159421791|0.5922833187833461|0.5325103851247236|0.528402400988684|0.6330441758383135|0.6653023159421791|0.6235054622173444|['qtde_pessoas_scaled', 'dias_atualizacao_scaled', 'dias_cadastramento_scaled', 'faixa_qtde_pessoas', 'nome_regiao_ibge', 'nome_uf_ibge', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'faixa_comodos_domic_fam', 'nome_classf']|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_atualizacao_scaled', 'dias_cadastramento_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'faixa_comodos_domic_fam', 'nome_classf']|Top 10 most important variables|{'iterations': 1000, 'learning_rate': 0.1, 'depth': 6, 'loss_function': 'MultiClassOneVsAll', 'random_seed': 42, 'verbose': 100, 'eval_metric': 'Accuracy'}
XGBoost|na|na|0.2|na|42|0.6657686130252318|0.5877929043724958|0.5457222687126091|0.5473239666494957|0.6357553512620446|0.6657686130252318|0.6357390780863335|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_regiao_ibge_Nordeste', 'nome_local_domic_fam_Nao se aplica', 'nome_calcamento_domic_fam_Total', 'qtd_comodos_domic_fam_scaled', 'nome_iluminacao_domic_fam_Eletrica - med. proprio', 'nome_local_domic_fam_Urbanas', 'nome_regiao_ibge_Sudeste', 'ind_parc_mds_fam_306']|Todas variaveis, inclusive UF|{'objective': 'multi:softmax', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'mlogloss', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 128, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'num_class': 3, 'use_label_encoder': True}
CatBoostClassifier|0.1|MultiClass|0.2|6|42|0.6667012071913372|0.592284248632822|0.5391637738113352|0.5353746569473617|0.6354784185655685|0.6667012071913372|0.6282910442086744|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'nome_regiao_ibge', 'dias_atualizacao_scaled', 'qtd_comodos_domic_fam_scaled', 'faixa_comodos_domic_fam', 'nome_material_piso_simpl', 'nome_classf', 'nome_iluminacao_simpl']|Todas variaveis, exceto UF|na
XGBoost|na|na|0.2|na|42|0.6673747474224133|0.5927618835561305|0.5430034343450686|0.5431910942615529|0.6371410937786139|0.6673747474224133|0.6334015048884756|l_col_num_scaled, lista_nomes_encoded_2|['nome_material_piso_fam_Ceram_laj_pedra', 'qtde_pessoas_scaled', 'nome_regiao_ibge_Nordeste', 'nome_calcamento_domic_fam_Total', 'nome_local_domic_fam_Nao se aplica', 'qtd_comodos_domic_fam_scaled', 'nome_iluminacao_domic_fam_Eletrica - med. proprio', 'nome_local_domic_fam_Urbanas', 'nome_regiao_ibge_Sudeste', 'nome_uf_ibge_RJ']|Todas variaveis, inclusive UF|{'objective': 'multi:softmax', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'mlogloss', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 500, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'num_class': 3, 'use_label_encoder': True, 'verbose': True}
CatBoostClassifier|0.1|MultiClassOneVsAll|0.2|6|42|0.6675819905704368|0.592356042796052|0.5391431138406008|0.5353166898513532|0.6354345854725655|0.6675819905704368|0.6285629591337125|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'faixa_qtde_pessoas', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'faixa_comodos_domic_fam', 'nome_classf', 'nome_local_domic_fam']|Todas variaveis, exceto UF|na
CatBoostClassifier|0.1|MultiClassOneVsAll|0.15|6|42|0.6695910472506217|0.5963232154209744|0.541563501438055|0.5377272064277417|0.6394929084094837|0.6695910472506217|0.6311242055596213|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'faixa_comodos_domic_fam', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf']|Todas variaveis, inclusive UF|{'iterations': 1000, 'learning_rate': 0.1, 'depth': 6, 'loss_function': 'MultiClassOneVsAll', 'random_seed': 42, 'verbose': 100, 'eval_metric': 'Accuracy'}
CatBoostClassifier|0.1|MultiClass|0.2|6|42|0.6702243407077354|0.5961998788859236|0.5453523904971046|0.5416618816195892|0.6399224456195862|0.6702243407077354|0.6333044655218205|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'dias_cadastramento_scaled', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf', 'faixa_comodos_domic_fam', 'nome_iluminacao_simpl']|Todas variaveis, inclusive UF|na
CatBoostClassifier|0.1|MultiClassOneVsAll|0.2|6|42|0.6711569348738408|0.5980705946164521|0.5436021672105352|0.540847636965123|0.6402856153673889|0.6711569348738408|0.6331235709327245|l_col_num_scaled, l_col_cat_nomes, l_col_cat_num_outras, l_col_cat_nomes_simpl, l_col_cat_faixas|['qtde_pessoas_scaled', 'dias_atualizacao_scaled', 'dias_cadastramento_scaled', 'faixa_qtde_pessoas', 'nome_regiao_ibge', 'nome_uf_ibge', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'faixa_comodos_domic_fam', 'nome_classf']|Todas variaveis, inclusive UF|na
